feature,grammar,parse,typecheck,compile,parse_error,typecheck_error,compile_error
const_simple,constantDeclaration,PASS,PASS,FAIL,,,[Errno 2] No such file or directory: 'p4c-ebpf'
action_simple,actionDeclaration,PASS,PASS,FAIL,,,[Errno 2] No such file or directory: 'p4c-ebpf'
parser_simple,parserDeclaration,PASS,PASS,FAIL,,,[Errno 2] No such file or directory: 'p4c-ebpf'
control_simple,controlDeclaration,PASS,PASS,FAIL,,,[Errno 2] No such file or directory: 'p4c-ebpf'
header_monomorphic,headerTypeDeclaration (monomorphic),PASS,PASS,FAIL,,,[Errno 2] No such file or directory: 'p4c-ebpf'
header_polymorphic,headerTypeDeclaration (polymorphic),PASS,PASS,FAIL,,,[Errno 2] No such file or directory: 'p4c-ebpf'
header_union_monomorphic,headerUnionTypeDeclaration (monomorphic),PASS,PASS,FAIL,,,[Errno 2] No such file or directory: 'p4c-ebpf'
header_union_polymorphic,headerUnionTypeDeclaration (polymorphic),PASS,PASS,FAIL,,,[Errno 2] No such file or directory: 'p4c-ebpf'
struct_monomorphic,structTypeDeclaration (monomorphic),PASS,PASS,FAIL,,,[Errno 2] No such file or directory: 'p4c-ebpf'
struct_polymorphic,structTypeDeclaration (polymorphic),PASS,PASS,FAIL,,,[Errno 2] No such file or directory: 'p4c-ebpf'
enum_non_serializable,enumTypeDeclaration,PASS,PASS,FAIL,,,[Errno 2] No such file or directory: 'p4c-ebpf'
enum_serializable,enumTypeDeclaration (serializable),PASS,PASS,FAIL,,,[Errno 2] No such file or directory: 'p4c-ebpf'
typedef_alias,typedefDeclaration (alias),PASS,PASS,FAIL,,,[Errno 2] No such file or directory: 'p4c-ebpf'
typedef_derived_header,typedefDeclaration (derived header),PASS,PASS,FAIL,,,[Errno 2] No such file or directory: 'p4c-ebpf'
typedef_derived_header_union,typedefDeclaration (derived header union),PASS,PASS,FAIL,,,[Errno 2] No such file or directory: 'p4c-ebpf'
typedef_derived_struct,typedefDeclaration (derived struct),PASS,PASS,FAIL,,,[Errno 2] No such file or directory: 'p4c-ebpf'
typedef_derived_enum,typedefDeclaration (derived enum),PASS,PASS,FAIL,,,[Errno 2] No such file or directory: 'p4c-ebpf'
typedef_new,typedefDeclaration (new type),PASS,PASS,FAIL,,,[Errno 2] No such file or directory: 'p4c-ebpf'
error_simple,errorDeclaration,PASS,PASS,FAIL,,,[Errno 2] No such file or directory: 'p4c-ebpf'
function_simple,functionDeclaration,PASS,PASS,FAIL,,,[Errno 2] No such file or directory: 'p4c-ebpf'
const_simple,constantDeclaration,PASS,PASS,FAIL,,,[Errno 2] No such file or directory: 'p4c-ebpf'
var_simple,variableDeclaration,PASS,PASS,FAIL,,,[Errno 2] No such file or directory: 'p4c-ebpf'
value_set_simple,valueSetDeclaration,PASS,PASS,FAIL,,,[Errno 2] No such file or directory: 'p4c-ebpf'
const_simple,constantDeclaration,PASS,PASS,FAIL,,,[Errno 2] No such file or directory: 'p4c-ebpf'
action_simple,actionDeclaration,PASS,PASS,FAIL,,,[Errno 2] No such file or directory: 'p4c-ebpf'
table_simple,tableDeclaration,PASS,PASS,FAIL,,,[Errno 2] No such file or directory: 'p4c-ebpf'
var_simple,variableDeclaration,PASS,PASS,FAIL,,,[Errno 2] No such file or directory: 'p4c-ebpf'
assign_simple,assignmentOrMethodCallStatement,PASS,PASS,FAIL,,,[Errno 2] No such file or directory: 'p4c-ebpf'
assign_add,assignmentOrMethodCallStatement (expanded +=),FAIL,FAIL,FAIL,Error: File output/test_assign_add.p4, line 22, characters 16-17
parser error,SKIPPED (parse failed),[Errno 2] No such file or directory: 'p4c-ebpf'
assign_sub,assignmentOrMethodCallStatement (expanded -=),PASS,PASS,FAIL,,,[Errno 2] No such file or directory: 'p4c-ebpf'
assign_mul,assignmentOrMethodCallStatement (expanded *=),PASS,PASS,FAIL,,,[Errno 2] No such file or directory: 'p4c-ebpf'
