Grammar,Variant,P4Cherry,P4C-eBPF,P4Cherry Error, P4C-eBPF Error
variableDeclaration,init,FAIL,FAIL,Error: File output/controlStmt_variableDeclaration_init.p4  line 40  characters 8-27 key already exists: counter,output/controlStmt_variableDeclaration_init.p4(40): [--Werror=duplicate] error: Duplicate declaration of counter; previous at          bit<8> counter = 0;                ^^^^^^^ output/controlStmt_var
variableDeclaration,non-init,PASS,PASS,,
constantDeclaration,simple,PASS,PASS,,
assignmentOrMethodCallStatement,assign-simple,PASS,PASS,,
assignmentOrMethodCallStatement,assign-add,FAIL,PASS,Error: File output/controlStmt_assignmentOrMethodCallStatement_assign-add.p4  line 40  characters 16-17 parser error,
assignmentOrMethodCallStatement,assign-sub,FAIL,PASS,Error: File output/controlStmt_assignmentOrMethodCallStatement_assign-sub.p4  line 40  characters 16-17 parser error,
assignmentOrMethodCallStatement,assign-mul,FAIL,PASS,Error: File output/controlStmt_assignmentOrMethodCallStatement_assign-mul.p4  line 40  characters 16-17 parser error,
assignmentOrMethodCallStatement,assign-div,FAIL,FAIL,Error: File output/controlStmt_assignmentOrMethodCallStatement_assign-div.p4  line 40  characters 28-58 (reduce_senums_binary) cannot coerce types int<16> and int<16>,output/controlStmt_assignmentOrMethodCallStatement_assign-div.p4(40): [--Werror=type-error] error: (int<16>)icounter / 2: Cannot operate on signed values         icounter = (int<8>)((int<16>)icounter 
assignmentOrMethodCallStatement,assign-mod,FAIL,FAIL,Error: File output/controlStmt_assignmentOrMethodCallStatement_assign-mod.p4  line 40  characters 28-58 (reduce_senums_binary) cannot coerce types int<16> and int<16>,output/controlStmt_assignmentOrMethodCallStatement_assign-mod.p4(40): [--Werror=type-error] error: (int<16>)icounter % 2: Cannot operate on signed values         icounter = (int<8>)((int<16>)icounter 
assignmentOrMethodCallStatement,assign-shl,FAIL,PASS,Error: File output/controlStmt_assignmentOrMethodCallStatement_assign-shl.p4  line 40  characters 16-18 parser error,
assignmentOrMethodCallStatement,assign-shr,FAIL,PASS,Error: File output/controlStmt_assignmentOrMethodCallStatement_assign-shr.p4  line 40  characters 16-17 parser error,
assignmentOrMethodCallStatement,assign-and,FAIL,PASS,Error: File output/controlStmt_assignmentOrMethodCallStatement_assign-and.p4  line 40  characters 16-17 parser error,
assignmentOrMethodCallStatement,assign-or,FAIL,PASS,Error: File output/controlStmt_assignmentOrMethodCallStatement_assign-or.p4  line 40  characters 16-17 parser error,
assignmentOrMethodCallStatement,assign-xor,FAIL,PASS,Error: File output/controlStmt_assignmentOrMethodCallStatement_assign-xor.p4  line 40  characters 16-17 parser error,
assignmentOrMethodCallStatement,call-momomorphic,PASS,PASS,,
assignmentOrMethodCallStatement,call-polymorphic,PASS,PASS,,
directApplication,simple,PASS,PASS,,
conditionalStatement,simple,PASS,PASS,,
conditionalStatement,else,PASS,PASS,,
conditionalStatement,nested,PASS,PASS,,
emptyStatement,simple,PASS,PASS,,
blockStatement,simple,PASS,PASS,,
blockStatement,nested,PASS,PASS,,
exitStatement,simple,PASS,PASS,,
returnStatement,void,PASS,PASS,,
switchStatement,general-simple,PASS,FAIL,,In file: /home/ebpf-p4-feature-map/p4c/backends/ebpf/ebpfControl.cpp:446 Compiler Bug: output/controlStmt_switchStatement_general-simple.p4(40): counter_0/counter;: Unexpected expression in switch sta
switchStatement,general-fallthrough,PASS,FAIL,,In file: /home/ebpf-p4-feature-map/p4c/backends/ebpf/ebpfControl.cpp:446 Compiler Bug: output/controlStmt_switchStatement_general-fallthrough.p4(40): counter_0/counter;: Unexpected expression in switc
forStatement,3-clause,FAIL,PASS,Error: File output/controlStmt_forStatement_3-clause.p4  line 40  characters 13-16 parser error,
forStatement,in,FAIL,FAIL,Error: File output/controlStmt_forStatement_in.p4  line 40  characters 13-16 parser error,output/controlStmt_forStatement_in.p4(40): [--Werror=unsupported] error: 0 .. 10: not yet implemented         for (bit<8> i in 0..10) { }                          ^^^^^
breakStatement,simple,FAIL,PASS,Error: File output/controlStmt_breakStatement_simple.p4  line 40  characters 13-16 parser error,
continueStatement,simple,FAIL,PASS,Error: File output/controlStmt_continueStatement_simple.p4  line 40  characters 13-16 parser error,
