Grammar                     , Variant               , P4Cherry, P4C-eBPF, P4Cherry Error                                                                                                                                   , P4C-eBPF Error
INTEGER                     , arbitrary             , PASS    , PASS    ,                                                                                                                                                  , 
INTEGER                     , fixed-signed          , PASS    , PASS    ,                                                                                                                                                  , 
INTEGER                     , fixed-unsigned        , PASS    , PASS    ,                                                                                                                                                  , 
DOTS                        , default               , PASS    , FAIL    ,                                                                                                                                                  , output/expr_DOTS_default.p4(33): [--Werror=type-error] error: H1_t: cast not supported         f((H1_t) ...);            ^^^^
STRING_LITERAL              , simple                , PASS    , PASS    ,                                                                                                                                                  , 
TRUE                        , true                  , PASS    , PASS    ,                                                                                                                                                  , 
FALSE                       , false                 , PASS    , PASS    ,                                                                                                                                                  , 
prefixedNonTypeName         , dot-prefix            , PASS    , PASS    ,                                                                                                                                                  , 
prefixedNonTypeName         , no-prefix             , PASS    , PASS    ,                                                                                                                                                  , 
indexAccessExpression       , tuple                 , PASS    , PASS    ,                                                                                                                                                  , 
indexAccessExpression       , header-stack          , PASS    , PASS    ,                                                                                                                                                  , 
bitSliceExpression          , simple                , PASS    , PASS    ,                                                                                                                                                  , 
bracedListExpression        , simple                , PASS    , PASS    ,                                                                                                                                                  , 
bracedListExpression        , trailing-comma        , PASS    , PASS    ,                                                                                                                                                  , 
bracedListExpression        , dots                  , PASS    , PASS    ,                                                                                                                                                  , 
bracedListExpression        , dots-trailing-comma   , PASS    , PASS    ,                                                                                                                                                  , 
bracedListExpression        , nested                , PASS    , PASS    ,                                                                                                                                                  , 
invalidHeaderExpression     , simple                , PASS    , PASS    ,                                                                                                                                                  , 
bracedKeyValueListExpression, simple                , PASS    , PASS    ,                                                                                                                                                  , 
bracedKeyValueListExpression, trailing-comma        , PASS    , PASS    ,                                                                                                                                                  , 
bracedKeyValueListExpression, dots                  , PASS    , PASS    ,                                                                                                                                                  , 
bracedKeyValueListExpression, dots-trailing-comma   , PASS    , PASS    ,                                                                                                                                                  , 
bracedKeyValueListExpression, nested                , PASS    , PASS    ,                                                                                                                                                  , 
parenthesizedExpression     , simple                , PASS    , PASS    ,                                                                                                                                                  , 
parenthesizedExpression     , nested                , PASS    , PASS    ,                                                                                                                                                  , 
unaryExpression             , logical-not           , PASS    , PASS    ,                                                                                                                                                  , 
unaryExpression             , bitwise-not           , PASS    , PASS    ,                                                                                                                                                  , 
unaryExpression             , negation              , PASS    , PASS    ,                                                                                                                                                  , 
unaryExpression             , plus                  , PASS    , PASS    ,                                                                                                                                                  , 
typeAccessExpression        , enum-non-serializable , PASS    , PASS    ,                                                                                                                                                  , 
typeAccessExpression        , enum-serializable     , PASS    , FAIL    ,                                                                                                                                                  , output/expr_typeAccessExpression_enum-serializable.p4(12): [--Werror=target-error] error: Type E2_t not supported enum bit<8> E2_t { A = 1  B = 2  C = 3 }             ^^^^ In file: /home/ebpf-p4-featu
errorAccessExpression       , simple                , PASS    , PASS    ,                                                                                                                                                  , 
memberAccessExpression      , header-stack-size     , PASS    , PASS    ,                                                                                                                                                  , 
memberAccessExpression      , header-stack-lastIndex, PASS    , PASS    ,                                                                                                                                                  , 
memberAccessExpression      , header-stack-last     , PASS    , PASS    ,                                                                                                                                                  , 
memberAccessExpression      , header-stack-next     , PASS    , PASS    ,                                                                                                                                                  , 
memberAccessExpression      , struct                , PASS    , PASS    ,                                                                                                                                                  , 
memberAccessExpression      , header                , PASS    , PASS    ,                                                                                                                                                  , 
memberAccessExpression      , header-union          , PASS    , PASS    ,                                                                                                                                                  , 
memberAccessExpression      , table                 , PASS    , PASS    ,                                                                                                                                                  , 
binaryExpression            , mul                   , PASS    , PASS    ,                                                                                                                                                  , 
binaryExpression            , div                   , PASS    , PASS    ,                                                                                                                                                  , 
binaryExpression            , mod                   , PASS    , PASS    ,                                                                                                                                                  , 
binaryExpression            , add                   , PASS    , PASS    ,                                                                                                                                                  , 
binaryExpression            , sub                   , PASS    , PASS    ,                                                                                                                                                  , 
binaryExpression            , add-saturating        , PASS    , PASS    ,                                                                                                                                                  , 
binaryExpression            , sub-saturating        , PASS    , PASS    ,                                                                                                                                                  , 
binaryExpression            , shift-left            , PASS    , PASS    ,                                                                                                                                                  , 
binaryExpression            , shift-right           , PASS    , PASS    ,                                                                                                                                                  , 
binaryExpression            , le                    , PASS    , PASS    ,                                                                                                                                                  , 
binaryExpression            , ge                    , PASS    , PASS    ,                                                                                                                                                  , 
binaryExpression            , lt                    , PASS    , PASS    ,                                                                                                                                                  , 
binaryExpression            , gt                    , PASS    , PASS    ,                                                                                                                                                  , 
binaryExpression            , ne                    , PASS    , PASS    ,                                                                                                                                                  , 
binaryExpression            , eq                    , PASS    , PASS    ,                                                                                                                                                  , 
binaryExpression            , bitwise-and           , PASS    , PASS    ,                                                                                                                                                  , 
binaryExpression            , bitwise-xor           , PASS    , PASS    ,                                                                                                                                                  , 
binaryExpression            , bitwise-or            , PASS    , PASS    ,                                                                                                                                                  , 
binaryExpression            , logical-and           , PASS    , PASS    ,                                                                                                                                                  , 
binaryExpression            , logical-or            , PASS    , PASS    ,                                                                                                                                                  , 
