Grammar,Variant,P4Cherry,P4C-eBPF,P4Cherry Error, P4C-eBPF Error
assignmentOrMethodCallStatement,assign-simple,PASS,PASS,,
assignmentOrMethodCallStatement,assign-add,FAIL,PASS,Error: File output/controlStmt_assignmentOrMethodCallStatement_assign-add.p4  line 36  characters 16-17 parser error,
assignmentOrMethodCallStatement,assign-sub,FAIL,PASS,Error: File output/controlStmt_assignmentOrMethodCallStatement_assign-sub.p4  line 36  characters 16-17 parser error,
assignmentOrMethodCallStatement,assign-mul,FAIL,PASS,Error: File output/controlStmt_assignmentOrMethodCallStatement_assign-mul.p4  line 36  characters 16-17 parser error,
assignmentOrMethodCallStatement,assign-div,FAIL,FAIL,Error: File output/controlStmt_assignmentOrMethodCallStatement_assign-div.p4  line 36  characters 28-58 (reduce_senums_binary) cannot coerce types int<16> and int<16>,output/controlStmt_assignmentOrMethodCallStatement_assign-div.p4(36): [--Werror=type-error] error: (int<16>)icounter / 2: Cannot operate on signed values         icounter = (int<8>)((int<16>)icounter 
assignmentOrMethodCallStatement,assign-mod,FAIL,FAIL,Error: File output/controlStmt_assignmentOrMethodCallStatement_assign-mod.p4  line 36  characters 28-58 (reduce_senums_binary) cannot coerce types int<16> and int<16>,output/controlStmt_assignmentOrMethodCallStatement_assign-mod.p4(36): [--Werror=type-error] error: (int<16>)icounter % 2: Cannot operate on signed values         icounter = (int<8>)((int<16>)icounter 
assignmentOrMethodCallStatement,assign-shl,FAIL,PASS,Error: File output/controlStmt_assignmentOrMethodCallStatement_assign-shl.p4  line 36  characters 16-18 parser error,
assignmentOrMethodCallStatement,assign-shr,FAIL,PASS,Error: File output/controlStmt_assignmentOrMethodCallStatement_assign-shr.p4  line 36  characters 16-17 parser error,
assignmentOrMethodCallStatement,assign-and,FAIL,PASS,Error: File output/controlStmt_assignmentOrMethodCallStatement_assign-and.p4  line 36  characters 16-17 parser error,
assignmentOrMethodCallStatement,assign-or,FAIL,PASS,Error: File output/controlStmt_assignmentOrMethodCallStatement_assign-or.p4  line 36  characters 16-17 parser error,
assignmentOrMethodCallStatement,assign-xor,FAIL,PASS,Error: File output/controlStmt_assignmentOrMethodCallStatement_assign-xor.p4  line 36  characters 16-17 parser error,
assignmentOrMethodCallStatement,call-momomorphic,PASS,PASS,,
assignmentOrMethodCallStatement,call-polymorphic,PASS,PASS,,
directApplication,simple,PASS,PASS,,
emptyStatement,simple,PASS,PASS,,
variableDeclaration,init,PASS,PASS,,
variableDeclaration,non-init,PASS,PASS,,
constantDeclaration,simple,PASS,PASS,,
parserBlockStatement,simple,PASS,PASS,,
parserBlockStatement,nested,PASS,PASS,,
conditionalStatement,simple,PASS,PASS,,
conditionalStatement,else,PASS,PASS,,
conditionalStatement,nested,PASS,PASS,,
