Grammar,Variant,P4Cherry,P4C-eBPF,P4Cherry Error, P4C-eBPF Error
constantDeclaration,simple,PASS,FAIL,,[Errno 2] No such file or directory: 'p4c-ebpf'
actionDeclaration,simple,PASS,FAIL,,[Errno 2] No such file or directory: 'p4c-ebpf'
parserDeclaration,simple,PASS,FAIL,,[Errno 2] No such file or directory: 'p4c-ebpf'
controlDeclaration,simple,PASS,FAIL,,[Errno 2] No such file or directory: 'p4c-ebpf'
headerTypeDeclaration,monomorphic,PASS,FAIL,,[Errno 2] No such file or directory: 'p4c-ebpf'
headerTypeDeclaration,polymorphic,PASS,FAIL,,[Errno 2] No such file or directory: 'p4c-ebpf'
headerUnionTypeDeclaration,monomorphic,PASS,FAIL,,[Errno 2] No such file or directory: 'p4c-ebpf'
headerUnionTypeDeclaration,polymorphic,PASS,FAIL,,[Errno 2] No such file or directory: 'p4c-ebpf'
structTypeDeclaration,monomorphic,PASS,FAIL,,[Errno 2] No such file or directory: 'p4c-ebpf'
structTypeDeclaration,polymorphic,PASS,FAIL,,[Errno 2] No such file or directory: 'p4c-ebpf'
enumTypeDeclaration,non-serializable,PASS,FAIL,,[Errno 2] No such file or directory: 'p4c-ebpf'
enumTypeDeclaration,serializable,PASS,FAIL,,[Errno 2] No such file or directory: 'p4c-ebpf'
typedefDeclaration,typedef-base,PASS,FAIL,,[Errno 2] No such file or directory: 'p4c-ebpf'
typedefDeclaration,typedef-derived-header,PASS,FAIL,,[Errno 2] No such file or directory: 'p4c-ebpf'
typedefDeclaration,typedef-derived-header-union,PASS,FAIL,,[Errno 2] No such file or directory: 'p4c-ebpf'
typedefDeclaration,typedef-derived-struct,PASS,FAIL,,[Errno 2] No such file or directory: 'p4c-ebpf'
typedefDeclaration,typedef-derived-enum,PASS,FAIL,,[Errno 2] No such file or directory: 'p4c-ebpf'
typedefDeclaration,type,PASS,FAIL,,[Errno 2] No such file or directory: 'p4c-ebpf'
errorDeclaration,simple,PASS,FAIL,,[Errno 2] No such file or directory: 'p4c-ebpf'
functionDeclaration,simple,PASS,FAIL,,[Errno 2] No such file or directory: 'p4c-ebpf'
